Question,A,B,C,D,Answer,Qtype
 What would be the Prefix notation for the given equation?, +A*B^CD,"
 +A^B*CD","
 *A+B^CD","
 ^A*B+CD", a,DS
" Out of the following operators (^, *, +, &, $), the one having highest priority is _________","
 +","
 $","
 ^","
 &", c,DS
" Out of the following operators (|, *, +, &, $), the one having lowest priority is ________","
 +","
 $","
 |","
 &", c,DS
 What would be the Prefix notation for the given equation?, ^^^ABCD,"
 ^A^B^CD","
 ABCD^^^","
 AB^C^D", a,DS
 What would be the Prefix notation for the given equation?, |&-+ab/cdef,"
 &|-+ab/cdef","
 |&-ab+/cdef","
 |&-+/abcdef", a,DS
 What would be the Prefix notation for the given equation?, -+a*/^bcdef,"
 -+a*/bc^def","
 -+a*b/c^def","
 -a+*/bc^def", b,DS
 What would be the Prefix notation and Postfix notation for the given equation?, ++ABC and AB+C+,"
 AB+C+ and ++ABC","
 ABC++ and AB+C+","
 ABC+ and ABC+", a,DS
1 What would be the Prefix notation for the given equation?, a|&bc,"
 &|abc","
 |abc&","
 ab&|c", b,DS
" When an operand is read, which of the following is done?","
 It is placed on to the output","
 It is placed in operator stack","
 It is ignored","
 Operator stack is emptied", a,DS
 What should be done when a left parenthesis ‘(‘ is encountered?,"
 It is ignored","
 It is placed in the output","
 It is placed in the operator stack","
 The contents of the operator stack is emptied", c,DS
 Which of the following is an infix expression?,"
 (a+*(c+","
 ab+c*","
 +ab","
 abc+*", a,DS
 What is the time complexity of an infix to postfix conversion algorithm?,"
 O(N log N)","
 O(N)","
 O(N",), b,DS
"
",What is the postfix expression for the corresponding infix expression?, abc*+de*+,"
 abc+*de*+","
 a+bc*de+*", a,DS
"
", Parentheses are simply ignored in the conversion of infix to postfix expression.,"
 True","
 False","
", b,DS
"
 True","
 False","
", What is the postfix expression for the infix expression?, -ab-c, a,DS
"
 – -abc","
 -ab-c","
", What is the postfix expression for the following infix expression?, abc^/d-, b,DS
"
 ab/^cd-","
 abcd^/-","
", Which of the following statement is incorrect with respect to infix to postfix conversion algorithm?,"
 operand is always placed in the output", a,DS
"
 parenthesis are included in the output","
 higher and equal priority operators follow the same condition","
","1 In infix to postfix conversion algorithm, the operators are associated from?","
 right to left", c,DS
"
 centre to left","
 centre to right","
",1 What is the corresponding postfix expression for the given infix expression?, ab*+cd/, b,DS
"
 abc*+/d","
 abc+*d/","
",1 What is the corresponding postfix expression for the given infix expression?, ab*cdef/^*g-h+, d,DS
"
 abcd*^ed/g*-h*+","
 abc*de^fg/*-*h+","
",1 What is the correct postfix expression for the following expression?, abc^de-fg+*^*+i-, b,DS
"
 abcd^e-fgh*+^*+i-","
 ab^-dc*+ef^gh*+i-","
","1 From the given Expression tree, identify the correct postfix expression from the list of options.","
 ", c,DS
 What would be the solution to the given prefix notation?,2,"
 5","
 10","
 7", a,DS
 What would be the solution to the given prefix notation?,1,"
 4","
 2","
 8", a,DS
 What would be the solution to the given prefix notation?,14,"
 15","
 18","
 12", b,DS
 What would be the solution to the given prefix notation?,6,"
 -6","
 3","
 -3", b,DS
 What would be the solution to the given prefix notation?,1,"
 0","
 -1","
 -2", c,DS
 What would be the solution to the given prefix notation?,12,"
 5","
 9","
 15", a,DS
 Given a prefix and a postfix notation what are the difference between them?,"
 The postfix equation is solved starting from the left whereas the prefix notation is solved from the right","
 The postfix equation is solved starting from the right whereas the prefix notation is solved from the left","
 Both equations are solved starting from the same side(right)","
 Both equations are solved starting from the same side(left)", a,DS
" When converting the prefix notation into an infix notation, the first step to be followed is ________","
 Reverse the equation","
 Push the equation to the stack","
 Push the equation onto the queue","
 Push the equation to the stack or queue", a,DS
 The time complexity of converting a prefix notation to infix notation is _________,"
 O(n) where n is the length of the equation","
 O(n) where n is number of operands","
 O(1)","
 O(logn) where n is length of the equation", a,DS
" Given two processes (conversion of postfix equation to infix notation and conversion of prefix notation to infix notation), which of the following is easier to implement?","
 Both are easy to implement","
 Conversion of postfix equation to infix equation is harder than converting a prefix notation to infix notation","
 Conversion of postfix equation to infix equation is easier than converting a prefix notation to infix notation","
 Insufficient data", c,DS
 Which of the following data structure is used to convert postfix expression to infix expression?,"
 Stack","
 Queue","
 Linked List","
 Heap", a,DS
 The postfix expression abc+de/*- is equivalent to which of the following infix expression?,"
 abc+-de*/","
 (a+-d/e*c","
 a-(b+*(d/e)","
 abc+*-(d/e)", c,DS
 The equivalent infix expression and value for the postfix form 1 2 + 3 * 4 5 * – will be ___________,"
 1 + 2 * 3 – 4 * 5 and -13","
 (2 + 1) * (3 – 4) * 5 and 13","
 1 + 2 * (3 – 4) * 5 and -11","
 (1 + 2) * 3 – (4 * 5) and -11", d,DS
 What is the value of the postfix expression  2 3 + 4 5 6 – – *,"
 19","
 21","
 -4","
 25", d,DS
 The prefix expression of the postfix expression AB+CD-* is __________,"
 (A+*(C-","
 +AB*-CD","
 A+*BCD-","
 *+AB-CD", d,DS
" Consider the postfix expression 4 5 6 a b 7 8 a c, where a, b, c are operators. Operator a has higher precedence over operators b and c. Operators b and c are right associative. Then, equivalent infix expression is","
 4 a 5 6  b 7 8 a c","
 4 a 5 c 6 b 7 a 8","
 4 b 5 a 6 c 7 a 8","
 4 a 5 b 6 c 7 a 8", c,DS
 To convert the postfix expression into the infix expression we use stack and scan the postfix expression from left to right.,"
 True","
 False","
", Which of the following is valid reverse polish expression?, a,DS
"
 op a b","
 a b op","
 both op a b and a b op","
", The result of the postfix expression 5 3 * 9 + 6 / 8 4 / + is _____________, c,DS
 The optimal data structure used to solve Tower of Hanoi is _________,"
 Tree","
 Heap","
 Priority queue","
 Stack", d,DS
 Select the appropriate code for the recursive Tower of Hanoi problem.(n is the number of disks),"
",,,, a,DS
"
 Madam","
 Dad","
 Malayalam","
 Maadam","
", d,DS
"
 Tree","
 Heap","
 Stack","
 Priority queue","
", c,DS
"
",,,, What is the number of moves required to solve Tower of Hanoi problem for k disks?, a,DS
"
 2k + 1","
 2",1,"
 2", – 1, d,DS
 Reversing a word using stack can be used to find if the given word is a palindrome or not.,"
 True","
 False","
", Which is the most appropriate data structure for reversing a word?, a,DS
"
 stack","
 tree","
 graph","
", Operations required for reversing a word or a string using stack are push() and  pop()., b,DS
"
 False","
", What is the time complexity of reversing a word using stack algorithm?,"
 O (N log N)","
 O (N", a,DS
"
 O (N)","
 O (M log N)","
", What will be the word obtained if the word “abbcabb” is reversed using a stack?,"
 bbabbca", c,DS
"
 bbacbba","
 bbacabb","
", How many stacks are required for reversing a word algorithm?,"
 one", c,DS
"
 three","
 four","
", What will be result if the given stack is popped?,"
 ", a,DS
"
 tap","
 atp","
 apt","
", What will be output if the following sequence of operations are executed?, b,DS
"
Push(b,s);","
Pop(;","
Push(c,s);","
 abc","
 b", b,DS
"
 acb","
", What are the set of functions that are to be executed to get the following output?,"
cat","
 push(c, s);  push(a, s);  push(t, s);", b,DS
"
 push(c,s); pop(s); push(a,s); pop(s);push(t,s);pop(s);","
 pop(c ); pop(; pop(t);","
 push(c,s); push(a,s); pop(t);","
", How will your stack look like if the word ‘java’ is pushed?, a,DS
"
","
","
","
",1 Find the error (if any) in the following code snippet for pop operation., c,DS
"
 compile time error","
 pop operation is performed, but top moved in wrong direction","
 pop operation is performed properly","
",1 What will be the output of the following program?, c,DS
 What is the time complexity of balancing parentheses algorithm?,"
 O (N)","
 O (N log N)","
 O (M log N)","
 O (N", a,DS
"
", Which application of stack is used to ensure that the pair of parentheses is properly nested?,"
 Balancing symbols","
 Reversing a stack","
 Conversion of an infix to postfix expression", a,DS
"
"," In balancing parentheses algorithm, the string is read from?","
 right to left","
 left to right","
 center to right", b,DS
"
", Which is the most appropriate data structure for applying balancing of symbols algorithm?,"
 stack","
 queue","
 tree", a,DS
"
", Which of the following does the balancing symbols algorithm include?,"
 balancing double quotes","
 balancing single quotes","
 balancing operators and brackets", d,DS
"
", Which of the following statement is incorrect with respect to balancing symbols algorithm?,"
 {[()]}","
 ([ )] ","
 {( )}", b,DS
"
", What should be done when an opening parentheses is read in a balancing symbols algorithm?,"
 push it on to the stack","
 throw an error","
 ignore the parentheses", a,DS
"
"," When the corresponding end bracket/braces/parentheses is not found, what happens?","
 The stack is popped","
 Ignore the parentheses","
 An error is reported", c,DS
"
"," If the corresponding end bracket/braces/parentheses is encountered, which of the following is done?","
 push it on to the stack","
 pop the stack","
 throw an error", b,DS
